wavelength,intensity,element
6558.972,0.85,Hydrogen
6558.974,0.8499,Hydrogen
6558.976,0.8499,Hydrogen
6558.978,0.8499,Hydrogen
6558.98,0.8499,Hydrogen
6558.982,0.8498,Hydrogen
6558.984,0.8497,Hydrogen
6558.986,0.8496,Hydrogen
6558.988,0.8496,Hydrogen
6558.99,0.8495,Hydrogen
6558.992,0.8495,Hydrogen
6558.994,0.8494,Hydrogen
6558.996,0.8493,Hydrogen
6558.998,0.8492,Hydrogen
6559.0,0.8492,Hydrogen
6559.002,0.8492,Hydrogen
6559.004,0.8491,Hydrogen
6559.006,0.8491,Hydrogen
6559.008,0.8491,Hydrogen
6559.01,0.8491,Hydrogen
6559.012,0.8491,Hydrogen
6559.014,0.8491,Hydrogen
6559.016,0.8491,Hydrogen
6559.018,0.8491,Hydrogen
6559.02,0.8491,Hydrogen
6559.022,0.8491,Hydrogen
6559.024,0.8491,Hydrogen
6559.026,0.8491,Hydrogen
6559.028,0.8491,Hydrogen
6559.03,0.849,Hydrogen
6559.032,0.8489,Hydrogen
6559.034,0.8489,Hydrogen
6559.036,0.8488,Hydrogen
6559.038,0.8487,Hydrogen
6559.04,0.8486,Hydrogen
6559.042,0.8484,Hydrogen
6559.044,0.8483,Hydrogen
6559.046,0.8482,Hydrogen
6559.048,0.848,Hydrogen
6559.05,0.8478,Hydrogen
6559.052,0.8476,Hydrogen
6559.054,0.8475,Hydrogen
6559.056,0.8474,Hydrogen
6559.058,0.8472,Hydrogen
6559.06,0.8471,Hydrogen
6559.062,0.847,Hydrogen
6559.064,0.8469,Hydrogen
6559.066,0.8468,Hydrogen
6559.068,0.8467,Hydrogen
6559.07,0.8466,Hydrogen
6559.072,0.8465,Hydrogen
6559.074,0.8465,Hydrogen
6559.076,0.8465,Hydrogen
6559.078,0.8465,Hydrogen
6559.08,0.8464,Hydrogen
6559.082,0.8464,Hydrogen
6559.084,0.8464,Hydrogen
6559.086,0.8464,Hydrogen
6559.088,0.8463,Hydrogen
6559.09,0.8463,Hydrogen
6559.092,0.8463,Hydrogen
6559.094,0.8463,Hydrogen
6559.096,0.8463,Hydrogen
6559.098,0.8463,Hydrogen
6559.1,0.8463,Hydrogen
6559.102,0.8463,Hydrogen
6559.104,0.8463,Hydrogen
6559.106,0.8463,Hydrogen
6559.108,0.8462,Hydrogen
6559.11,0.8461,Hydrogen
6559.112,0.8461,Hydrogen
6559.114,0.846,Hydrogen
6559.116,0.846,Hydrogen
6559.118,0.846,Hydrogen
6559.12,0.8459,Hydrogen
6559.122,0.8459,Hydrogen
6559.124,0.8458,Hydrogen
6559.126,0.8458,Hydrogen
6559.128,0.8458,Hydrogen
6559.13,0.8458,Hydrogen
6559.132,0.8457,Hydrogen
6559.134,0.8457,Hydrogen
6559.136,0.8456,Hydrogen
6559.138,0.8455,Hydrogen
6559.14,0.8454,Hydrogen
6559.142,0.8454,Hydrogen
6559.144,0.8453,Hydrogen
6559.146,0.8453,Hydrogen
6559.148,0.8452,Hydrogen
6559.15,0.8451,Hydrogen
6559.152,0.845,Hydrogen
6559.154,0.8449,Hydrogen
6559.156,0.8448,Hydrogen
6559.158,0.8447,Hydrogen
6559.16,0.8445,Hydrogen
6559.162,0.8444,Hydrogen
6559.164,0.8442,Hydrogen
6559.166,0.8441,Hydrogen
6559.168,0.8439,Hydrogen
6559.17,0.8438,Hydrogen
6559.172,0.8437,Hydrogen
6559.174,0.8435,Hydrogen
6559.176,0.8434,Hydrogen
6559.178,0.8433,Hydrogen
6559.18,0.8432,Hydrogen
6559.182,0.8431,Hydrogen
6559.184,0.843,Hydrogen
6559.186,0.8429,Hydrogen
6559.188,0.8429,Hydrogen
6559.19,0.8428,Hydrogen
6559.192,0.8428,Hydrogen
6559.194,0.8427,Hydrogen
6559.196,0.8426,Hydrogen
6559.198,0.8425,Hydrogen
6559.2,0.8425,Hydrogen
6559.202,0.8425,Hydrogen
6559.204,0.8425,Hydrogen
6559.206,0.8424,Hydrogen
6559.208,0.8424,Hydrogen
6559.21,0.8424,Hydrogen
6559.212,0.8424,Hydrogen
6559.214,0.8424,Hydrogen
6559.216,0.8424,Hydrogen
6559.218,0.8423,Hydrogen
6559.22,0.8423,Hydrogen
6559.222,0.8422,Hydrogen
6559.224,0.8422,Hydrogen
6559.226,0.8422,Hydrogen
6559.228,0.8422,Hydrogen
6559.23,0.8422,Hydrogen
6559.232,0.8421,Hydrogen
6559.234,0.8421,Hydrogen
6559.236,0.8421,Hydrogen
6559.238,0.8421,Hydrogen
6559.24,0.8421,Hydrogen
6559.242,0.8421,Hydrogen
6559.244,0.842,Hydrogen
6559.246,0.842,Hydrogen
6559.248,0.8419,Hydrogen
6559.25,0.8419,Hydrogen
6559.252,0.8419,Hydrogen
6559.254,0.8419,Hydrogen
6559.256,0.8418,Hydrogen
6559.258,0.8418,Hydrogen
6559.26,0.8417,Hydrogen
6559.262,0.8417,Hydrogen
6559.264,0.8416,Hydrogen
6559.266,0.8415,Hydrogen
6559.268,0.8414,Hydrogen
6559.27,0.8413,Hydrogen
6559.272,0.8412,Hydrogen
6559.274,0.8411,Hydrogen
6559.276,0.841,Hydrogen
6559.278,0.8409,Hydrogen
6559.28,0.8408,Hydrogen
6559.282,0.8406,Hydrogen
6559.284,0.8405,Hydrogen
6559.286,0.8404,Hydrogen
6559.288,0.8403,Hydrogen
6559.29,0.8402,Hydrogen
6559.292,0.8401,Hydrogen
6559.294,0.84,Hydrogen
6559.296,0.8399,Hydrogen
6559.298,0.8398,Hydrogen
6559.3,0.8397,Hydrogen
6559.302,0.8396,Hydrogen
6559.304,0.8396,Hydrogen
6559.306,0.8395,Hydrogen
6559.308,0.8394,Hydrogen
6559.31,0.8394,Hydrogen
6559.312,0.8393,Hydrogen
6559.314,0.8393,Hydrogen
6559.316,0.8392,Hydrogen
6559.318,0.8391,Hydrogen
6559.32,0.839,Hydrogen
6559.322,0.8389,Hydrogen
6559.324,0.8389,Hydrogen
6559.326,0.8388,Hydrogen
6559.328,0.8387,Hydrogen
6559.33,0.8387,Hydrogen
6559.332,0.8387,Hydrogen
6559.334,0.8386,Hydrogen
6559.336,0.8386,Hydrogen
6559.338,0.8385,Hydrogen
6559.34,0.8385,Hydrogen
