Wavelength (Angstroms), Normalized intensity, Element
5886.35, 9686, 
5886.352, 9689, 
5886.354, 9693, 
5886.356, 9696, 
5886.358, 9699, 
5886.36, 9701, 
5886.362, 9704, 
5886.364, 9705, 
5886.366, 9706, 
5886.368, 9707, 
5886.37, 9708, 
5886.372, 9708, 
5886.374, 9708, 
5886.376, 9708, 
5886.378, 9708, 
5886.38, 9707, 
5886.382, 9706, 
5886.384, 9705, 
5886.386, 9705, 
5886.388, 9704, 
5886.39, 9703, 
5886.392, 9702, 
5886.394, 9701, 
5886.396, 9701, 
5886.398, 9701, 
5886.4, 9702, 
5886.402, 9702, 
5886.404, 9703, 
5886.406, 9704, 
5886.408, 9705, 
5886.41, 9708, 
5886.412, 9709, 
5886.414, 9712, 
5886.416, 9714, 
5886.418, 9717, 
5886.42, 9720, 
5886.422, 9723, 
5886.424, 9725, 
5886.426, 9728, 
5886.428, 9731, 
5886.43, 9734, 
5886.432, 9737, 
5886.434, 9740, 
5886.436, 9743, 
5886.438, 9746, 
5886.44, 9748, 
5886.442, 9751, 
5886.444, 9752, 
5886.446, 9755, 
5886.448, 9756, 
5886.45, 9757, 
5886.452, 9759, 
5886.454, 9760, 
5886.456, 9761, 
5886.458, 9762, 
5886.46, 9763, 
5886.462, 9764, 
5886.464, 9765, 
5886.466, 9765, 
5886.468, 9766, 
5886.47, 9767, 
5886.472, 9768, 
5886.474, 9769, 
5886.476, 9769, 
5886.478, 9770, 
5886.48, 9772, 
5886.482, 9773, 
5886.484, 9774, 
5886.486, 9775, 
5886.488, 9776, 
5886.49, 9777, 
5886.492, 9778, 
5886.494, 9779, 
5886.496, 9779, 
5886.498, 9780, 
5886.5, 9782, 
5886.502, 9783, 
5886.504, 9783, 
5886.506, 9784, 
5886.508, 9784, 
5886.51, 9784, 
5886.512, 9784, 
5886.514, 9784, 
5886.516, 9784, 
5886.518, 9784, 
5886.52, 9784, 
5886.522, 9784, 
5886.524, 9784, 
5886.526, 9785, 
5886.528, 9784, 
5886.53, 9784, 
5886.532, 9783, 
5886.534, 9783, 
5886.536, 9782, 
5886.538, 9781, 
5886.54, 9781, 
5886.542, 9780, 
5886.544, 9780, 
5886.546, 9779, 
5886.548, 9778, 
5886.55, 9778, 
5886.552, 9777, 
5886.554, 9776, 
5886.556, 9775, 
5886.558, 9775, 
5886.56, 9774, 
5886.562, 9774, 
5886.564, 9774, 
5886.566, 9773, 
5886.568, 9772, 
5886.57, 9772, 
5886.572, 9771, 
5886.574, 9771, 
5886.576, 9770, 
5886.578, 9769, 
5886.58, 9769, 
5886.582, 9768, 
5886.584, 9768, 
5886.586, 9767, 
5886.588, 9767, 
5886.59, 9767, 
5886.592, 9767, 
5886.594, 9766, 
5886.596, 9766, 
5886.598, 9766, 
5886.6, 9765, 
5886.602, 9765, 
5886.604, 9765, 
5886.606, 9764, 
5886.608, 9763, 
5886.61, 9763, 
5886.612, 9762, 
5886.614, 9761, 
5886.616, 9761, 
5886.618, 9760, 
5886.62, 9759, 
5886.622, 9758, 
5886.624, 9758, 
5886.626, 9756, 
5886.628, 9755, 
5886.63, 9754, 
5886.632, 9753, 
5886.634, 9751, 
5886.636, 9749, 
5886.638, 9748, 
5886.64, 9746, 
5886.642, 9744, 
5886.644, 9743, 
5886.646, 9741, 
5886.648, 9739, 
5886.65, 9737, 
5886.652, 9736, 
5886.654, 9734, 
5886.656, 9732, 
5886.658, 9731, 
5886.66, 9730, 
5886.662, 9730, 
5886.664, 9729, 
5886.666, 9728, 
5886.668, 9728, 
5886.67, 9729, 
5886.672, 9729, 
